meera,japanese,root,root-jp,parse,notes
あはー,そうか？,,,,
あんき,言い,あんく,言う,〜い,
あんくだ,言った,あんく,言う,〜だ,
あんけーる,言っている,あんく,言う,〜えーる,
あんじぇー,それでは,あんず,そうする,,
あんず,そうする,あんず,そうする,〜う,
あんすんが,でも,あんず,そうする,〜そんが,
いき,行き,いく,行く,〜い,
いく,行く,いく,行く,〜う,
いつぃばん,一番,一番,,,
ぃやーぃや,おーいおーい,,,,
うい,年寄り,,,,老
うすぃ,牛,,,,
うだ,居た,うる,,〜う,
うむい,思って,うもー,,〜い,
うもーだ,思った,うもー,,〜だ,
うり,居,うる,,〜い,
うり,それ,,,,
かー,〜れば,,,,
かい,〜に,,,,
がしゃーる,〜みたい,,,,
から,から,,,,
がらさー,カラス,,,,
がらす,カラス,,,,
かんがいだ,考えた,かんがいる,,〜だ,
がんずーさー,元気であって,がんずー,,〜さー,頑丈
きー,〜ので,,,,
きーて,来て,くー,,〜い〜て,
くり,これ,,,,
こーさー,固く,こー,,〜さー〜い,
さーばどぅやる,〜しなくてはいけない,すー,,〜あー〜ば〜どぅ〜なる,
し,〜で,,,,
しらるぬ,できない,すー,,〜あり〜ぬ,
すぃてぃらり,捨てられ,すてぇいる,,〜あり〜ぬ,
すぃに,死に,すぃぬ,,〜い,
すだ,した,すー,,〜だ,
すんが,〜けど,,,,
ただーい,ずんずん,,,,
たてーる,立てる,たてぃる,,〜う,
だふぁーだふぁー,がぁーがぁー,,,,
ちび,尻,,,,
ちょー,〜そうだ,,,,
つぬ,角,,,,
つのー,角は,つぬ,,〜や,
でぃ,〜と,,,,
とー,ねー,,,,
とーとー,あーあー,,,,
どぅ,〜ぞ,,,,係結び
とぅび,飛び,とぅぶ,,〜い,
な,〜に,,,,＋動詞
なき,鳴き,なく,,〜い,
ならぬ,ならない,なる,,〜あぬ,
なり,成り,なる,,〜い,
なんが,〜で,,,,
にんじゅ,仲間,,,,
ぬ,〜の,,,,
ぬ,〜ので,,,,
ぬぎ,脱ぎ,ぬぐ,,〜い,
ぬめー,〜たち,,,,
ぬめーだ,〜たち,,,,
ねーなー,なく,ねーぬ,,〜い,
ばー,私,,,,
ばがさーる,若い,ばが,,〜さー〜う,
はった,行った,はる,,〜た,
はらー,行こう,はる,,〜あー,
はり,行き,はる,,〜い,
ぴとぅがら,一匹、一頭,,,ぴとぅ〜がら,
ふぁーんばー,食べよう,ふぉー,,〜あーぬ〜ばー,
ふぁぬどぅらー,食べていけない,ふぉー,,〜あぬ〜どぅ〜ら,
ふぉー,食べる,ふぉー,,〜う,
ふぉーん,食べる,ふぉー,,〜う〜ん,
ふぉーむのー,食べ物,ふぉー,,〜むぬ〜や,
ふぉい,食べた,ふぉー,,〜い,
ふぉい,食べ,ふぉー,,〜い,
ふぉーな,食べるな,ふぉー,,〜う〜な,
まい,前,,,,
まき,牧場,,,,
みーだ,見た,みーる,,〜だ,
みんたま,目玉,,,みん〜たま,
むーる,みんな,,,,
むかす,昔,,,,
むぬかんがい,知恵を使う,,,むぬ〜かんがい,
むら,村,,,,
や,〜は,,,,
ゆ,〜を,,,,
ゆんから,〜であるから,,,,
よー,〜よ,,,,
らー,〜なー,,,,
わだー,あなたたち,,,,
ん,〜も,,,,
んけん,〜うち,,,,
んまさーる,美味しい,んま,,〜さー〜う,うまい