meera,japanese,root,root-jp,parse,cognate,notes,audio
あはー,そうか？,,,,0,,
あんき,言い,あんく,言う,〜い,0,,
あんくだ,言った,あんく,言う,〜だ,0,,
あんけーる,言っている,あんく,言う,〜えーる,0,,
あんじぇー,それでは,あんず,そうする,,0,,
あんず,そうする,あんず,そうする,〜う,0,,
あんすんが,でも,あんず,そうする,〜そんが,0,,
いき,行き,いく,行く,〜い,0,,
いく,行く,いく,行く,〜う,1,,
いつぃばん,一番,一番,,,1,,
ぃやーぃや,おーいおーい,,,,0,,
うい,年寄り,,,,1,老,
うすぃ,牛,,,,1,,
うだ,居た,うる,,〜う,1,おる,
うむい,思って,うもー,,〜い,1,,
うもーだ,思った,うもー,,〜だ,1,,
うり,居,うる,,〜い,1,おる,
うり,それ,,,,1,,
かー,〜れば,,,,0,,
かい,〜に,,,,0,,
がしゃーる,〜みたい,,,,0,,
から,から,,,,1,,
がらさー,カラス,,,,1,,
がらす,カラス,,,,1,,
かんがいだ,考えた,かんがいる,,〜だ,1,,
がんずーさー,元気であって,がんずー,,〜さー,1,頑丈,
きー,〜ので,,,,0,,
きーて,来て,くー,,〜い〜て,1,,
くり,これ,,,,1,,
こーさー,固く,こー,,〜さー〜い,0,,
さーばどぅやる,〜しなくてはいけない,すー,,〜あー〜ば〜どぅ〜なる,1,,
し,〜で,,,,0,,
しらるぬ,できない,すー,,〜あり〜ぬ,1,,
すぃてぃらり,捨てられ,すてぇいる,,〜あり〜ぬ,1,,
すぃに,死に,すぃぬ,,〜い,1,,
すだ,した,すー,,〜だ,1,,
すんが,〜けど,,,,0,,
ただーい,ずんずん,,,,0,,
たてーる,立てる,たてぃる,,〜う,1,,
だふぁーだふぁー,がぁーがぁー,,,,0,,
ちび,尻,,,,0,,
ちょー,〜そうだ,,,,0,,
つぬ,角,,,,1,,
つのー,角は,つぬ,,〜や,1,,
でぃ,〜と,,,,0,,
でぃー,じゃー,,,,0,,dii.wav
とー,ねー,,,,0,,
とーとー,あーあー,,,,0,,
どぅ,〜ぞ,,,,0,係結び,
とぅび,飛び,とぅぶ,,〜い,1,,
な,〜に,,,,0,＋動詞,
なき,鳴き,なく,,〜い,1,,
ならぬ,ならない,なる,,〜あぬ,1,,
なり,成り,なる,,〜い,1,,
なんが,〜で,,,,0,,
にんじゅ,仲間,,,,0,,
ぬ,〜の,,,,1,,
ぬ,〜ので,,,,0,,
ぬぎ,脱ぎ,ぬぐ,,〜い,1,,
ぬめー,〜たち,,,,0,,
ぬめーだ,〜たち,,,,0,,
ねーなー,なく,ねーぬ,,〜い,0,,
ばー,私,,,,0,,
ばがさーる,若い,ばが,,〜さー〜う,1,,
はった,行った,はる,,〜た,0,,
はらー,行こう,はる,,〜あー,0,,
はり,行き,はる,,〜い,0,,
ぴとぅがら,一匹、一頭,,,ぴとぅ〜がら,0,,
ふぁーんばー,食べよう,ふぉー,,〜あーぬ〜ばー,1,食う,
ふぁぬどぅらー,食べていけない,ふぉー,,〜あぬ〜どぅ〜ら,1,食う,
ふぉー,食べる,ふぉー,,〜う,1,食う,
ふぉーん,食べる,ふぉー,,〜う〜ん,1,食う,
ふぉーむのー,食べ物,ふぉー,,〜むぬ〜や,1,食う,
ふぉい,食べた,ふぉー,,〜い,1,食う,
ふぉい,食べ,ふぉー,,〜い,1,食う,
ふぉーな,食べるな,ふぉー,,〜う〜な,1,食う,
まい,前,,,,1,,
まき,牧場,,,,1,,
みーだ,見た,みーる,,〜だ,1,,
みんたま,目玉,,,みん〜たま,1,,
むーる,みんな,,,,0,,
むかす,昔,,,,1,,
むぬかんがい,知恵を使う,,,むぬ〜かんがい,1,もの＋考え,
むら,村,,,,1,,
や,〜は,,,,0,,
ゆ,〜を,,,,0,,
ゆんから,〜であるから,,,,0,,
よー,〜よ,,,,0,,
らー,〜なー,,,,0,,
わだー,あなたたち,,,,0,,
ん,〜も,,,,0,,
んけん,〜うち,,,,0,,
んまさーる,美味しい,んま,,〜さー〜う,1,うまい,